Incident_No,Force_Type,Incident_Date,Race,Gender,Age,Precinct,Neighborhood,Is911Call
10-253521,Level 1 - Use of Force,2010/08/20 18:39:16+00,1.0,1.0,28.0,1,Downtown West,0.0
10-253824,Level 1 - Use of Force,2010/08/20 22:34:48+00,1.0,1.0,18.0,3,Seward,0.0
10-253856,Level 1 - Use of Force,2010/08/20 22:53:56+00,1.0,0.0,17.0,4,Folwell,0.0
10-253856,Level 1 - Use of Force,2010/08/20 22:53:56+00,1.0,0.0,17.0,4,Folwell,0.0
10-253897,Level 1 - Use of Force,2010/08/20 23:15:53+00,2.0,1.0,21.0,1,Downtown West,0.0
10-253956,Level 3 - Use of Force,2010/08/20 23:55:27+00,1.0,1.0,22.0,5,Steven's Square - Loring Heights,0.0
10-254026,Level 1 - Use of Force,2010/08/21 00:42:39+00,1.0,0.0,23.0,1,Downtown West,0.0
10-254026,Level 2 - Use of Force,2010/08/21 00:42:39+00,1.0,0.0,23.0,1,Downtown West,0.0
10-254131,Level 1 - Use of Force,2010/08/21 02:17:42+00,1.0,1.0,25.0,1,Downtown West,1.0
10-254131,Level 1 - Use of Force,2010/08/21 02:17:42+00,1.0,1.0,25.0,1,Downtown West,1.0
10-254131,Level 1 - Use of Force,2010/08/21 02:17:42+00,1.0,1.0,25.0,1,Downtown West,1.0
10-254131,Level 1 - Use of Force,2010/08/21 02:17:42+00,1.0,1.0,25.0,1,Downtown West,1.0
10-254131,Level 1 - Use of Force,2010/08/21 02:17:42+00,1.0,1.0,25.0,1,Downtown West,1.0
10-254131,Level 1 - Use of Force,2010/08/21 02:17:42+00,1.0,1.0,25.0,1,Downtown West,1.0
10-254134,Level 1 - Use of Force,2010/08/21 02:20:19+00,1.0,1.0,0.0,1,Downtown West,1.0
10-254134,Level 1 - Use of Force,2010/08/21 02:20:19+00,1.0,1.0,0.0,1,Downtown West,1.0
10-254228,Level 2 - Use of Force,2010/08/21 05:07:34+00,2.0,1.0,25.0,5,East Isles,0.0
10-254637,Level 1 - Use of Force,2010/08/21 16:30:21+00,1.0,1.0,24.0,4,Near - North,0.0
10-254637,Level 1 - Use of Force,2010/08/21 16:30:21+00,1.0,1.0,24.0,4,Near - North,0.0
10-254637,Level 1 - Use of Force,2010/08/21 16:30:21+00,1.0,1.0,24.0,4,Near - North,0.0
10-254738,Level 1 - Use of Force,2010/08/21 18:09:30+00,1.0,1.0,18.0,3,Regina,0.0
10-254738,Level 1 - Use of Force,2010/08/21 18:09:30+00,1.0,1.0,18.0,3,Regina,0.0
10-255340,Level 1 - Use of Force,2010/08/22 02:31:46+00,2.0,1.0,29.0,1,Downtown West,0.0
10-255340,Level 1 - Use of Force,2010/08/22 02:31:46+00,2.0,0.0,22.0,1,Downtown West,0.0
10-255340,Level 1 - Use of Force,2010/08/22 02:31:46+00,2.0,1.0,25.0,1,Downtown West,0.0
10-255359,Level 1 - Use of Force,2010/08/22 02:50:09+00,1.0,1.0,25.0,1,Downtown West,0.0
10-255382,Level 1 - Use of Force,2010/08/22 03:11:24+00,1.0,1.0,50.0,3,Central,1.0
10-256601,Level 1 - Use of Force,2010/08/23 13:23:38+00,1.0,1.0,15.0,3,Central,1.0
10-257092,Level 1 - Use of Force,2010/08/23 21:31:26+00,1.0,1.0,46.0,4,Jordan,0.0
10-257128,Level 1 - Use of Force,2010/08/23 22:09:51+00,2.0,1.0,51.0,4,Jordan,0.0
10-257128,Level 1 - Use of Force,2010/08/23 22:09:51+00,2.0,1.0,51.0,4,Jordan,0.0
10-257128,Level 1 - Use of Force,2010/08/23 22:09:51+00,2.0,1.0,51.0,4,Jordan,0.0
10-257367,Level 1 - Use of Force,2010/08/24 01:47:22+00,1.0,1.0,22.0,4,McKinley,0.0
10-257942,Level 1 - Use of Force,2010/08/24 16:24:07+00,7.0,1.0,18.0,3,Powderhorn Park,0.0
10-257942,Level 1 - Use of Force,2010/08/24 16:24:07+00,7.0,1.0,18.0,3,Powderhorn Park,0.0
10-257942,Level 1 - Use of Force,2010/08/24 16:24:07+00,7.0,1.0,18.0,3,Powderhorn Park,0.0
10-257993,Level 1 - Use of Force,2010/08/24 17:13:08+00,1.0,1.0,19.0,5,Lyndale,0.0
10-258449,Level 1 - Use of Force,2010/08/24 22:42:26+00,2.0,1.0,23.0,3,Seward,0.0
10-258622,Level 1 - Use of Force,2010/08/25 00:35:46+00,1.0,1.0,20.0,1,Downtown West,0.0
10-258622,Level 1 - Use of Force,2010/08/25 00:35:46+00,1.0,1.0,20.0,1,Downtown West,0.0
10-259162,Level 1 - Use of Force,2010/08/25 15:00:02+00,1.0,1.0,19.0,4,Jordan,0.0
10-259162,Level 1 - Use of Force,2010/08/25 15:00:02+00,1.0,1.0,19.0,4,Jordan,0.0
10-259240,Level 1 - Use of Force,2010/08/25 16:04:28+00,1.0,1.0,21.0,4,Jordan,1.0
10-259784,Level 1 - Use of Force,2010/08/25 23:31:22+00,2.0,1.0,38.0,1,Loring Park,0.0
10-259784,Level 1 - Use of Force,2010/08/25 23:31:22+00,2.0,1.0,38.0,1,Loring Park,0.0
10-259784,Level 1 - Use of Force,2010/08/25 23:31:22+00,2.0,1.0,38.0,1,Loring Park,0.0
10-259976,Level 1 - Use of Force,2010/08/26 02:38:21+00,1.0,1.0,30.0,1,Downtown West,0.0
10-259976,Level 1 - Use of Force,2010/08/26 02:38:21+00,1.0,1.0,30.0,1,Downtown West,0.0
10-259976,Level 1 - Use of Force,2010/08/26 02:38:21+00,1.0,1.0,30.0,1,Downtown West,0.0
10-260196,Level 1 - Use of Force,2010/08/26 10:58:41+00,7.0,1.0,17.0,3,Central,0.0
10-260196,Level 1 - Use of Force,2010/08/26 10:58:41+00,7.0,1.0,17.0,3,Central,0.0
10-260780,Level 1 - Use of Force,2010/08/26 20:53:26+00,3.0,0.0,29.0,3,Seward,1.0
10-260780,Level 1 - Use of Force,2010/08/26 20:53:26+00,3.0,0.0,29.0,3,Seward,1.0
10-260957,Level 1 - Use of Force,2010/08/26 23:04:31+00,1.0,1.0,26.0,4,Hawthorne,0.0
10-261076,Level 2 - Use of Force,2010/08/27 00:35:32+00,1.0,0.0,22.0,1,Downtown West,0.0
10-261751,Level 1 - Use of Force,2010/08/27 16:59:38+00,1.0,1.0,23.0,3,Ventura Village,0.0
10-261751,Level 1 - Use of Force,2010/08/27 16:59:38+00,1.0,1.0,23.0,3,Ventura Village,0.0
10-261751,Level 1 - Use of Force,2010/08/27 16:59:38+00,1.0,1.0,23.0,3,Ventura Village,0.0
10-261751,Level 1 - Use of Force,2010/08/27 16:59:38+00,1.0,1.0,23.0,3,Ventura Village,0.0
10-262265,Level 1 - Use of Force,2010/08/27 23:23:49+00,2.0,1.0,39.0,3,Powderhorn Park,1.0
10-262265,Level 1 - Use of Force,2010/08/27 23:23:49+00,2.0,1.0,39.0,3,Powderhorn Park,1.0
10-262265,Level 1 - Use of Force,2010/08/27 23:23:49+00,2.0,1.0,39.0,3,Powderhorn Park,1.0
10-262265,Level 1 - Use of Force,2010/08/27 23:23:49+00,2.0,1.0,39.0,3,Powderhorn Park,1.0
10-262265,Level 1 - Use of Force,2010/08/27 23:23:49+00,2.0,1.0,39.0,3,Powderhorn Park,1.0
10-262267,Level 1 - Use of Force,2010/08/27 23:25:31+00,1.0,0.0,27.0,4,Near - North,0.0
10-262445,Level 1 - Use of Force,2010/08/28 01:48:48+00,2.0,1.0,28.0,2,St. Anthony East,1.0
10-262445,Level 1 - Use of Force,2010/08/28 01:48:48+00,2.0,1.0,28.0,2,St. Anthony East,1.0
10-262445,Level 1 - Use of Force,2010/08/28 01:48:48+00,2.0,1.0,28.0,2,St. Anthony East,1.0
10-262445,Level 1 - Use of Force,2010/08/28 01:48:48+00,2.0,1.0,28.0,2,St. Anthony East,1.0
10-262445,Level 1 - Use of Force,2010/08/28 01:48:48+00,2.0,1.0,28.0,2,St. Anthony East,1.0
10-262445,Level 1 - Use of Force,2010/08/28 01:48:48+00,2.0,1.0,28.0,2,St. Anthony East,1.0
10-262445,Level 1 - Use of Force,2010/08/28 01:48:48+00,2.0,1.0,28.0,2,St. Anthony East,1.0
10-263153,Level 1 - Use of Force,2010/08/28 19:51:34+00,1.0,1.0,16.0,4,Victory,0.0
10-263239,Level 1 - Use of Force,2010/08/28 21:13:39+00,2.0,1.0,27.0,1,Downtown East,0.0
10-263239,Level 1 - Use of Force,2010/08/28 21:13:39+00,2.0,0.0,46.0,1,Downtown East,0.0
10-263239,Level 1 - Use of Force,2010/08/28 21:13:39+00,2.0,1.0,27.0,1,Downtown East,0.0
10-263239,Level 1 - Use of Force,2010/08/28 21:13:39+00,2.0,1.0,27.0,1,Downtown East,0.0
10-263239,Level 1 - Use of Force,2010/08/28 21:13:39+00,2.0,1.0,27.0,1,Downtown East,0.0
10-263424,Level 1 - Use of Force,2010/08/28 23:24:05+00,1.0,1.0,28.0,1,Downtown West,0.0
10-263424,Level 1 - Use of Force,2010/08/28 23:24:05+00,1.0,1.0,28.0,1,Downtown West,0.0
10-263920,Level 2 - Use of Force,2010/08/29 12:05:28+00,1.0,1.0,48.0,3,Ventura Village,0.0
10-264568,Level 1 - Use of Force,2010/08/30 00:54:52+00,1.0,1.0,30.0,1,Downtown West,0.0
10-264587,Level 2 - Use of Force,2010/08/30 01:11:39+00,1.0,1.0,21.0,1,Downtown West,0.0
10-264607,Level 1 - Use of Force,2010/08/30 01:38:48+00,3.0,1.0,22.0,3,East Phillips,0.0
10-264644,Level 1 - Use of Force,2010/08/30 02:43:01+00,1.0,1.0,18.0,1,Downtown West,0.0
10-264669,Level 1 - Use of Force,2010/08/30 03:23:53+00,1.0,1.0,20.0,2,Prospect Park - East River Road,1.0
10-264687,Level 2 - Use of Force,2010/08/30 05:14:43+00,1.0,1.0,32.0,4,Folwell,1.0
10-264687,Level 1 - Use of Force,2010/08/30 05:14:43+00,1.0,1.0,32.0,4,Folwell,1.0
10-264708,Level 2 - Use of Force,2010/08/30 07:15:52+00,1.0,1.0,30.0,4,Near - North,1.0
10-264708,Level 2 - Use of Force,2010/08/30 07:15:52+00,1.0,1.0,30.0,4,Near - North,1.0
10-265288,Level 2 - Use of Force,2010/08/30 19:05:01+00,7.0,1.0,26.0,3,Central,0.0
10-265288,Level 1 - Use of Force,2010/08/30 19:05:01+00,7.0,1.0,26.0,3,Central,0.0
10-265413,Level 1 - Use of Force,2010/08/30 21:09:11+00,1.0,1.0,15.0,3,Ventura Village,0.0
10-265413,Level 1 - Use of Force,2010/08/30 21:09:11+00,1.0,1.0,15.0,3,Ventura Village,0.0
10-265413,Level 2 - Use of Force,2010/08/30 21:09:11+00,1.0,1.0,15.0,3,Ventura Village,0.0
10-265624,Level 1 - Use of Force,2010/08/30 23:41:32+00,2.0,1.0,45.0,2,Holland,1.0
10-266033,Level 1 - Use of Force,2010/08/31 11:14:13+00,1.0,0.0,16.0,4,Harrison,0.0
10-266519,Level 1 - Use of Force,2010/08/31 19:03:05+00,1.0,1.0,18.0,1,Downtown West,0.0
10-266662,Level 1 - Use of Force,2010/08/31 20:45:48+00,1.0,1.0,46.0,4,Jordan,0.0
10-267054,Level 1 - Use of Force,2010/09/01 02:18:09+00,2.0,0.0,19.0,5,Fulton,0.0
10-267652,Level 2 - Use of Force,2010/09/01 17:32:08+00,1.0,1.0,42.0,1,Downtown West,0.0
10-267652,Level 1 - Use of Force,2010/09/01 17:32:08+00,1.0,1.0,42.0,1,Downtown West,0.0
10-267652,Level 1 - Use of Force,2010/09/01 17:32:08+00,1.0,1.0,42.0,1,Downtown West,0.0
10-267652,Level 1 - Use of Force,2010/09/01 17:32:08+00,1.0,1.0,42.0,1,Downtown West,0.0
10-267980,Level 1 - Use of Force,2010/09/01 21:45:52+00,1.0,1.0,29.0,3,Ventura Village,1.0
10-268205,Level 1 - Use of Force,2010/09/02 00:29:03+00,1.0,1.0,29.0,4,Hawthorne,0.0
10-268205,Level 1 - Use of Force,2010/09/02 00:29:03+00,1.0,1.0,29.0,4,Hawthorne,0.0
10-268205,Level 1 - Use of Force,2010/09/02 00:29:03+00,1.0,1.0,29.0,4,Hawthorne,0.0
10-268205,Level 1 - Use of Force,2010/09/02 00:29:03+00,1.0,1.0,29.0,4,Hawthorne,0.0
10-269444,Level 1 - Use of Force,2010/09/02 23:51:27+00,2.0,1.0,40.0,1,Downtown West,0.0
10-269444,Level 1 - Use of Force,2010/09/02 23:51:27+00,2.0,1.0,40.0,1,Downtown West,0.0
10-269444,Level 1 - Use of Force,2010/09/02 23:51:27+00,2.0,1.0,40.0,1,Downtown West,0.0
10-269444,Level 2 - Use of Force,2010/09/02 23:51:27+00,2.0,1.0,40.0,1,Downtown West,0.0
10-269444,Level 1 - Use of Force,2010/09/02 23:51:27+00,2.0,1.0,40.0,1,Downtown West,0.0
10-269444,Level 1 - Use of Force,2010/09/02 23:51:27+00,2.0,1.0,40.0,1,Downtown West,0.0
10-269552,Level 1 - Use of Force,2010/09/03 01:26:37+00,2.0,1.0,30.0,1,Downtown West,0.0
10-269552,Level 1 - Use of Force,2010/09/03 01:26:37+00,2.0,1.0,30.0,1,Downtown West,0.0
10-269552,Level 1 - Use of Force,2010/09/03 01:26:37+00,2.0,1.0,30.0,1,Downtown West,0.0
10-269552,Level 1 - Use of Force,2010/09/03 01:26:37+00,2.0,1.0,30.0,1,Downtown West,0.0
10-269791,Level 1 - Use of Force,2010/09/03 09:20:48+00,1.0,1.0,15.0,3,East Phillips,0.0
10-269901,Level 2 - Use of Force,2010/09/03 12:15:24+00,2.0,1.0,29.0,3,East Phillips,0.0
10-269901,Level 1 - Use of Force,2010/09/03 12:15:24+00,2.0,1.0,29.0,3,East Phillips,0.0
10-269928,Level 1 - Use of Force,2010/09/03 12:51:08+00,1.0,1.0,14.0,3,East Phillips,0.0
10-270131,Level 1 - Use of Force,2010/09/03 16:36:28+00,1.0,1.0,24.0,5,Whittier,1.0
10-270131,Level 2 - Use of Force,2010/09/03 16:36:28+00,1.0,1.0,24.0,5,Whittier,1.0
10-270876,Level 1 - Use of Force,2010/09/04 02:16:09+00,6.0,0.0,19.0,2,Marcy Holmes,1.0
10-270876,Level 1 - Use of Force,2010/09/04 02:16:09+00,6.0,0.0,19.0,2,Marcy Holmes,1.0
10-270987,Level 1 - Use of Force,2010/09/04 04:27:28+00,2.0,0.0,27.0,5,CARAG,1.0
10-271853,Level 1 - Use of Force,2010/09/04 23:39:56+00,1.0,1.0,29.0,3,Seward,1.0
10-271853,Level 1 - Use of Force,2010/09/04 23:39:56+00,1.0,1.0,29.0,3,Seward,1.0
10-271853,Level 1 - Use of Force,2010/09/04 23:39:56+00,1.0,1.0,29.0,3,Seward,1.0
10-271853,Level 1 - Use of Force,2010/09/04 23:39:56+00,1.0,1.0,29.0,3,Seward,1.0
10-271855,Level 1 - Use of Force,2010/09/04 23:41:11+00,3.0,1.0,28.0,4,Lind - Bohanon,1.0
10-271855,Level 1 - Use of Force,2010/09/04 23:41:11+00,3.0,1.0,28.0,4,Lind - Bohanon,1.0
10-271855,Level 1 - Use of Force,2010/09/04 23:41:11+00,3.0,1.0,28.0,4,Lind - Bohanon,1.0
10-271855,Level 1 - Use of Force,2010/09/04 23:41:11+00,3.0,1.0,28.0,4,Lind - Bohanon,1.0
10-271909,Level 1 - Use of Force,2010/09/05 00:31:16+00,2.0,1.0,26.0,1,Downtown West,0.0
10-271909,Level 1 - Use of Force,2010/09/05 00:31:16+00,2.0,1.0,32.0,1,Downtown West,0.0
10-272015,Level 1 - Use of Force,2010/09/05 02:03:27+00,2.0,1.0,22.0,1,Downtown West,0.0
10-272015,Level 1 - Use of Force,2010/09/05 02:03:27+00,2.0,1.0,22.0,1,Downtown West,0.0
10-272015,Level 1 - Use of Force,2010/09/05 02:03:27+00,2.0,1.0,22.0,1,Downtown West,0.0
10-272015,Level 1 - Use of Force,2010/09/05 02:03:27+00,2.0,1.0,22.0,1,Downtown West,0.0
10-272045,Level 1 - Use of Force,2010/09/05 02:31:14+00,2.0,1.0,29.0,1,Downtown West,0.0
10-272045,Level 1 - Use of Force,2010/09/05 02:31:14+00,2.0,1.0,29.0,1,Downtown West,0.0
10-272816,Level 1 - Use of Force,2010/09/05 22:21:58+00,1.0,1.0,14.0,2,Bottineau,0.0
10-272816,Level 1 - Use of Force,2010/09/05 22:21:58+00,1.0,1.0,14.0,2,Bottineau,0.0
10-273049,Level 1 - Use of Force,2010/09/06 01:17:36+00,1.0,1.0,26.0,1,Downtown West,0.0
10-273105,Level 1 - Use of Force,2010/09/06 02:10:58+00,1.0,1.0,25.0,1,Downtown West,0.0
10-273117,Level 1 - Use of Force,2010/09/06 02:25:32+00,1.0,1.0,23.0,1,Downtown West,0.0
10-273133,Level 1 - Use of Force,2010/09/06 02:43:21+00,1.0,1.0,22.0,1,Downtown West,0.0
10-273133,Level 1 - Use of Force,2010/09/06 02:43:21+00,1.0,1.0,22.0,1,Downtown West,0.0
10-273139,Level 1 - Use of Force,2010/09/06 02:52:04+00,4.0,3.0,0.0,1,Downtown West,0.0
10-273139,Level 1 - Use of Force,2010/09/06 02:52:04+00,4.0,3.0,0.0,1,Downtown West,0.0
10-274175,Level 1 - Use of Force,2010/09/07 01:10:23+00,1.0,1.0,32.0,4,Jordan,0.0
10-274175,Level 1 - Use of Force,2010/09/07 01:10:23+00,1.0,1.0,32.0,4,Jordan,0.0
10-274180,Level 1 - Use of Force,2010/09/07 01:14:06+00,1.0,1.0,27.0,2,Holland,1.0
10-274257,Level 1 - Use of Force,2010/09/07 03:37:21+00,3.0,0.0,26.0,3,East Phillips,1.0
10-274523,Level 2 - Use of Force,2010/09/07 12:18:31+00,1.0,1.0,20.0,4,Victory,1.0
10-274965,Level 1 - Use of Force,2010/09/07 19:43:02+00,1.0,1.0,28.0,3,Powderhorn Park,0.0
10-274965,Level 1 - Use of Force,2010/09/07 19:43:02+00,1.0,1.0,28.0,3,Powderhorn Park,0.0
10-274965,Level 1 - Use of Force,2010/09/07 19:43:02+00,1.0,1.0,28.0,3,Powderhorn Park,0.0
10-276007,Level 1 - Use of Force,2010/09/08 17:37:47+00,1.0,1.0,32.0,4,Willard - Hay,1.0
10-276007,Level 1 - Use of Force,2010/09/08 17:37:47+00,1.0,1.0,32.0,4,Willard - Hay,1.0
10-276007,Level 1 - Use of Force,2010/09/08 17:37:47+00,1.0,1.0,32.0,4,Willard - Hay,1.0
10-276007,Level 1 - Use of Force,2010/09/08 17:37:47+00,1.0,1.0,32.0,4,Willard - Hay,1.0
10-276007,Level 1 - Use of Force,2010/09/08 17:37:47+00,1.0,1.0,32.0,4,Willard - Hay,1.0
10-276007,Level 2 - Use of Force,2010/09/08 17:37:47+00,1.0,1.0,32.0,4,Willard - Hay,1.0
10-276007,Level 1 - Use of Force,2010/09/08 17:37:47+00,1.0,1.0,32.0,4,Willard - Hay,1.0
10-276007,Level 1 - Use of Force,2010/09/08 17:37:47+00,1.0,0.0,37.0,4,Willard - Hay,1.0
10-276007,Level 1 - Use of Force,2010/09/08 17:37:47+00,1.0,1.0,32.0,4,Willard - Hay,1.0
10-276007,Level 1 - Use of Force,2010/09/08 17:37:47+00,1.0,1.0,32.0,4,Willard - Hay,1.0
10-276007,Level 1 - Use of Force,2010/09/08 17:37:47+00,1.0,1.0,32.0,4,Willard - Hay,1.0
10-276204,Level 2 - Use of Force,2010/09/08 20:26:41+00,1.0,1.0,27.0,1,Loring Park,0.0
10-277059,Level 1 - Use of Force,2010/09/09 15:48:27+00,1.0,1.0,28.0,1,Downtown West,1.0
10-277059,Level 2 - Use of Force,2010/09/09 15:48:27+00,1.0,1.0,28.0,1,Downtown West,1.0
10-277706,Level 1 - Use of Force,2010/09/10 02:10:47+00,2.0,1.0,52.0,3,East Phillips,0.0
10-277717,Level 2 - Use of Force,2010/09/10 02:31:39+00,1.0,1.0,18.0,4,Hawthorne,0.0
10-277717,Level 1 - Use of Force,2010/09/10 02:31:39+00,1.0,1.0,18.0,4,Hawthorne,0.0
10-278178,Level 1 - Use of Force,2010/09/10 16:07:33+00,1.0,0.0,20.0,3,Powderhorn Park,0.0
10-278283,Level 2 - Use of Force,2010/09/10 17:39:22+00,1.0,1.0,33.0,3,East Phillips,1.0
10-278766,Level 1 - Use of Force,2010/09/11 01:45:23+00,1.0,1.0,50.0,1,Downtown West,0.0
10-278829,Level 1 - Use of Force,2010/09/11 02:28:47+00,4.0,3.0,0.0,1,Downtown West,0.0
10-278848,Level 1 - Use of Force,2010/09/11 02:46:06+00,1.0,1.0,23.0,2,Marcy Holmes,1.0
10-278848,Level 1 - Use of Force,2010/09/11 02:46:06+00,1.0,1.0,23.0,2,Marcy Holmes,1.0
10-279162,Level 1 - Use of Force,2010/09/11 12:40:00+00,1.0,0.0,39.0,4,Folwell,1.0
10-279162,Level 1 - Use of Force,2010/09/11 12:40:00+00,1.0,0.0,39.0,4,Folwell,1.0
10-279464,Level 1 - Use of Force,2010/09/11 18:04:57+00,1.0,0.0,18.0,2,Holland,1.0
10-280114,Level 1 - Use of Force,2010/09/12 01:32:04+00,1.0,1.0,30.0,5,Whittier,0.0
10-280114,Level 1 - Use of Force,2010/09/12 01:32:04+00,1.0,1.0,30.0,5,Whittier,0.0
10-280141,Level 1 - Use of Force,2010/09/12 01:50:30+00,0.0,1.0,22.0,1,Downtown West,0.0
10-280154,Level 1 - Use of Force,2010/09/12 01:58:55+00,1.0,1.0,21.0,1,Downtown West,0.0
10-280257,Level 2 - Use of Force,2010/09/12 03:15:13+00,2.0,1.0,24.0,3,Phillips West,0.0
10-281117,Level 1 - Use of Force,2010/09/13 01:29:28+00,1.0,0.0,19.0,1,Downtown West,0.0
10-281118,Level 1 - Use of Force,2010/09/13 01:30:49+00,1.0,1.0,22.0,1,Downtown West,0.0
10-281125,Level 1 - Use of Force,2010/09/13 01:40:21+00,4.0,3.0,0.0,1,Downtown West,0.0
10-281125,Level 1 - Use of Force,2010/09/13 01:40:21+00,4.0,3.0,0.0,1,Downtown West,0.0
10-281154,Level 1 - Use of Force,2010/09/13 02:29:38+00,1.0,1.0,18.0,1,Downtown West,0.0
10-281154,Level 1 - Use of Force,2010/09/13 02:29:38+00,1.0,1.0,18.0,1,Downtown West,0.0
10-281154,Level 1 - Use of Force,2010/09/13 02:29:38+00,1.0,1.0,18.0,1,Downtown West,0.0
10-281154,Level 1 - Use of Force,2010/09/13 02:29:38+00,1.0,1.0,18.0,1,Downtown West,0.0
10-281154,Level 1 - Use of Force,2010/09/13 02:29:38+00,1.0,1.0,18.0,1,Downtown West,0.0
10-281154,Level 1 - Use of Force,2010/09/13 02:29:38+00,1.0,1.0,18.0,1,Downtown West,0.0
10-281154,Level 1 - Use of Force,2010/09/13 02:29:38+00,1.0,1.0,18.0,1,Downtown West,0.0
10-282127,Level 1 - Use of Force,2010/09/14 00:16:06+00,1.0,1.0,38.0,4,Jordan,0.0
10-282127,Level 1 - Use of Force,2010/09/14 00:16:06+00,1.0,1.0,38.0,4,Jordan,0.0
10-282127,Level 1 - Use of Force,2010/09/14 00:16:06+00,1.0,1.0,38.0,4,Jordan,0.0
10-282127,Level 1 - Use of Force,2010/09/14 00:16:06+00,1.0,1.0,38.0,4,Jordan,0.0
10-282144,Level 1 - Use of Force,2010/09/14 00:31:25+00,1.0,0.0,28.0,4,Folwell,0.0
10-282245,Level 3 - Use of Force,2010/09/14 03:42:51+00,3.0,1.0,17.0,3,Keewaydin,0.0
10-282938,Level 1 - Use of Force,2010/09/14 19:13:34+00,1.0,1.0,27.0,3,Central,1.0
10-282938,Level 1 - Use of Force,2010/09/14 19:13:34+00,1.0,1.0,27.0,3,Central,1.0
10-282938,Level 1 - Use of Force,2010/09/14 19:13:34+00,1.0,1.0,27.0,3,Central,1.0
10-282938,Level 1 - Use of Force,2010/09/14 19:13:34+00,1.0,1.0,27.0,3,Central,1.0
10-282938,Level 1 - Use of Force,2010/09/14 19:13:34+00,1.0,1.0,27.0,3,Central,1.0
10-282938,Level 1 - Use of Force,2010/09/14 19:13:34+00,1.0,1.0,27.0,3,Central,1.0
10-282938,Level 1 - Use of Force,2010/09/14 19:13:34+00,1.0,1.0,27.0,3,Central,1.0
10-282938,Level 1 - Use of Force,2010/09/14 19:13:34+00,1.0,1.0,27.0,3,Central,1.0
10-283889,Level 1 - Use of Force,2010/09/15 15:56:37+00,1.0,1.0,18.0,3,Longfellow,1.0
10-283889,Level 1 - Use of Force,2010/09/15 15:56:37+00,1.0,1.0,54.0,3,Longfellow,1.0
10-283889,Level 1 - Use of Force,2010/09/15 15:56:37+00,1.0,1.0,54.0,3,Longfellow,1.0
10-283889,Level 1 - Use of Force,2010/09/15 15:56:37+00,1.0,1.0,18.0,3,Longfellow,1.0
10-283889,Level 1 - Use of Force,2010/09/15 15:56:37+00,1.0,1.0,18.0,3,Longfellow,1.0
10-283889,Level 1 - Use of Force,2010/09/15 15:56:37+00,1.0,1.0,54.0,3,Longfellow,1.0
10-283889,Level 1 - Use of Force,2010/09/15 15:56:37+00,1.0,1.0,18.0,3,Longfellow,1.0
10-283889,Level 1 - Use of Force,2010/09/15 15:56:37+00,1.0,1.0,18.0,3,Longfellow,1.0
10-283889,Level 1 - Use of Force,2010/09/15 15:56:37+00,1.0,1.0,18.0,3,Longfellow,1.0
10-283889,Level 2 - Use of Force,2010/09/15 15:56:37+00,1.0,1.0,18.0,3,Longfellow,1.0
10-284495,Level 1 - Use of Force,2010/09/16 02:10:54+00,1.0,0.0,43.0,4,McKinley,1.0
10-284859,Level 1 - Use of Force,2010/09/16 13:46:35+00,1.0,1.0,23.0,4,Jordan,1.0
10-285301,Level 1 - Use of Force,2010/09/16 23:33:09+00,1.0,1.0,22.0,4,Hawthorne,0.0
10-285408,Level 1 - Use of Force,2010/09/17 00:38:46+00,2.0,1.0,23.0,1,Downtown West,0.0
10-285408,Level 1 - Use of Force,2010/09/17 00:38:46+00,2.0,1.0,23.0,1,Downtown West,0.0
10-285655,Level 2 - Use of Force,2010/09/17 07:45:16+00,1.0,1.0,45.0,3,Phillips West,0.0
10-285655,Level 1 - Use of Force,2010/09/17 07:45:16+00,1.0,1.0,45.0,3,Phillips West,0.0
10-286374,Level 1 - Use of Force,2010/09/17 20:35:46+00,1.0,1.0,46.0,1,Downtown West,0.0
10-286407,Level 1 - Use of Force,2010/09/17 21:05:51+00,2.0,1.0,20.0,2,Holland,0.0
10-286407,Level 1 - Use of Force,2010/09/17 21:05:51+00,1.0,1.0,17.0,2,Holland,0.0
10-286579,Level 1 - Use of Force,2010/09/17 23:13:19+00,1.0,1.0,51.0,4,Near - North,0.0
10-286664,Level 2 - Use of Force,2010/09/18 00:17:35+00,1.0,1.0,37.0,3,Midtown Phillips,1.0
10-286788,Level 1 - Use of Force,2010/09/18 02:04:23+00,2.0,1.0,22.0,5,Lowry Hill East,0.0
10-286788,Level 1 - Use of Force,2010/09/18 02:04:23+00,1.0,1.0,22.0,5,Lowry Hill East,0.0
10-286788,Level 1 - Use of Force,2010/09/18 02:04:23+00,2.0,1.0,22.0,5,Lowry Hill East,0.0
10-286788,Level 1 - Use of Force,2010/09/18 02:04:23+00,1.0,1.0,22.0,5,Lowry Hill East,0.0
10-287430,Level 1 - Use of Force,2010/09/18 18:15:01+00,1.0,1.0,35.0,4,Folwell,0.0
10-287430,Level 1 - Use of Force,2010/09/18 18:15:01+00,1.0,1.0,35.0,4,Folwell,0.0
10-287430,Level 3 - Use of Force,2010/09/18 18:15:01+00,1.0,1.0,35.0,4,Folwell,0.0
10-287694,Level 1 - Use of Force,2010/09/18 22:20:46+00,2.0,1.0,17.0,3,Ericsson,0.0
10-287737,Level 1 - Use of Force,2010/09/18 22:51:53+00,3.0,1.0,17.0,2,Northeast Park,1.0
