Incident_No,Force_Type,Incident_Date,Race,Gender,Age,Precinct,Neighborhood,Is911Call
21-261622,Level 1 - Use of Force,2021/11/13 02:35:36+00,2.0,0.0,55.0,2,Marcy Holmes,1.0
21-261792,Level 1 - Use of Force,2021/11/13 11:21:52+00,1.0,0.0,21.0,2,Holland,1.0
21-261792,Level 1 - Use of Force,2021/11/13 11:21:52+00,1.0,0.0,21.0,2,Holland,1.0
21-261816,Level 2 - Use of Force,2021/11/13 12:10:59+00,,1.0,58.0,2,Como,1.0
21-261954,Level 2 - Use of Force,2021/11/13 16:11:00+00,,1.0,38.0,2,Holland,1.0
21-261954,Level 1 - Use of Force,2021/11/13 16:11:00+00,,1.0,38.0,2,Holland,1.0
21-262153,Level 2 - Use of Force,2021/11/13 21:04:47+00,2.0,1.0,38.0,5,CARAG,1.0
21-262153,Level 2 - Use of Force,2021/11/13 21:04:47+00,2.0,1.0,38.0,5,CARAG,1.0
21-262153,Level 1 - Use of Force,2021/11/13 21:04:47+00,2.0,1.0,38.0,5,CARAG,1.0
21-262153,Level 1 - Use of Force,2021/11/13 21:04:47+00,2.0,1.0,38.0,5,CARAG,1.0
21-262262,Level 1 - Use of Force,2021/11/13 23:41:08+00,1.0,1.0,25.0,4,Folwell,1.0
21-262262,Level 1 - Use of Force,2021/11/13 23:41:08+00,1.0,1.0,25.0,4,Folwell,1.0
21-262262,Level 1 - Use of Force,2021/11/13 23:41:08+00,1.0,1.0,25.0,4,Folwell,1.0
21-262262,Level 1 - Use of Force,2021/11/13 23:41:08+00,1.0,1.0,25.0,4,Folwell,1.0
21-262262,Level 1 - Use of Force,2021/11/13 23:41:08+00,1.0,1.0,25.0,4,Folwell,1.0
21-262262,Level 1 - Use of Force,2021/11/13 23:41:08+00,1.0,1.0,25.0,4,Folwell,1.0
21-262262,Level 1 - Use of Force,2021/11/13 23:41:08+00,1.0,1.0,25.0,4,Folwell,1.0
21-262262,Level 1 - Use of Force,2021/11/13 23:41:08+00,1.0,1.0,25.0,4,Folwell,1.0
21-262262,Level 1 - Use of Force,2021/11/13 23:41:08+00,1.0,1.0,25.0,4,Folwell,1.0
21-262262,Level 1 - Use of Force,2021/11/13 23:41:08+00,1.0,1.0,25.0,4,Folwell,1.0
21-262262,Level 1 - Use of Force,2021/11/13 23:41:08+00,1.0,1.0,25.0,4,Folwell,1.0
21-262262,Level 1 - Use of Force,2021/11/13 23:41:08+00,1.0,1.0,25.0,4,Folwell,1.0
21-262277,Level 1 - Use of Force,2021/11/14 00:12:39+00,1.0,0.0,20.0,1,Downtown West,1.0
21-262397,Level 1 - Use of Force,2021/11/14 03:23:12+00,2.0,1.0,46.0,1,Downtown West,1.0
21-262634,Level 2 - Use of Force,2021/11/14 12:51:32+00,1.0,1.0,35.0,5,Lyndale,1.0
21-262634,Level 2 - Use of Force,2021/11/14 12:51:32+00,1.0,1.0,35.0,5,Lyndale,1.0
21-262706,Level 1 - Use of Force,2021/11/14 14:31:58+00,1.0,1.0,43.0,1,Downtown West,0.0
21-262706,Level 1 - Use of Force,2021/11/14 14:31:58+00,1.0,1.0,43.0,1,Downtown West,0.0
21-262822,Level 2 - Use of Force,2021/11/14 18:23:30+00,1.0,1.0,34.0,5,East Harriet,1.0
21-262822,Level 1 - Use of Force,2021/11/14 18:23:30+00,1.0,1.0,34.0,5,East Harriet,1.0
21-262822,Level 2 - Use of Force,2021/11/14 18:23:30+00,1.0,1.0,34.0,5,East Harriet,1.0
21-263004,Level 1 - Use of Force,2021/11/14 22:35:19+00,,1.0,18.0,3,Standish,0.0
21-263222,Level 1 - Use of Force,2021/11/15 09:31:25+00,1.0,1.0,16.0,5,King Field,1.0
21-263355,Level 1 - Use of Force,2021/11/15 12:52:18+00,1.0,0.0,38.0,1,Downtown West,1.0
21-263869,Level 1 - Use of Force,2021/11/16 03:20:35+00,2.0,1.0,58.0,5,Fulton,1.0
21-264038,Level 1 - Use of Force,2021/11/16 11:45:50+00,1.0,0.0,37.0,4,McKinley,0.0
21-264103,Level 1 - Use of Force,2021/11/16 13:22:02+00,1.0,1.0,17.0,4,Victory,0.0
21-264103,Level 1 - Use of Force,2021/11/16 13:22:02+00,1.0,1.0,17.0,4,Victory,0.0
21-264103,Level 1 - Use of Force,2021/11/16 13:22:02+00,1.0,1.0,17.0,4,Victory,0.0
21-264106,Level 2 - Use of Force,2021/11/16 13:28:25+00,1.0,1.0,38.0,5,Steven's Square - Loring Heights,0.0
21-264131,Level 1 - Use of Force,2021/11/16 14:09:29+00,1.0,3.0,,2,Holland,0.0
21-264131,Level 1 - Use of Force,2021/11/16 14:09:29+00,1.0,3.0,19.0,2,Holland,0.0
21-264168,Level 1 - Use of Force,2021/11/16 15:05:21+00,1.0,1.0,18.0,4,Bryn - Mawr,0.0
21-264188,Level 2 - Use of Force,2021/11/16 15:42:57+00,1.0,0.0,,3,Ventura Village,1.0
21-264364,Level 1 - Use of Force,2021/11/16 19:05:31+00,1.0,1.0,37.0,1,Loring Park,1.0
21-264521,Level 1 - Use of Force,2021/11/16 22:18:32+00,2.0,1.0,55.0,2,Holland,0.0
21-264521,Level 1 - Use of Force,2021/11/16 22:18:32+00,2.0,1.0,59.0,2,Holland,0.0
21-264900,Level 1 - Use of Force,2021/11/17 13:03:11+00,1.0,1.0,46.0,4,Near - North,0.0
21-264900,Level 1 - Use of Force,2021/11/17 13:03:11+00,1.0,1.0,46.0,4,Near - North,0.0
21-264900,Level 1 - Use of Force,2021/11/17 13:03:11+00,1.0,1.0,46.0,4,Near - North,0.0
21-264900,Level 1 - Use of Force,2021/11/17 13:03:11+00,1.0,1.0,46.0,4,Near - North,0.0
21-265276,Level 1 - Use of Force,2021/11/17 21:35:31+00,1.0,1.0,17.0,1,Downtown West,0.0
21-265326,Level 2 - Use of Force,2021/11/17 23:10:13+00,2.0,1.0,33.0,2,Marcy Holmes,1.0
21-265326,Level 1 - Use of Force,2021/11/17 23:10:13+00,2.0,1.0,33.0,2,Marcy Holmes,1.0
21-265612,Level 1 - Use of Force,2021/11/18 12:09:02+00,1.0,1.0,21.0,5,Whittier,1.0
21-265751,Level 1 - Use of Force,2021/11/18 16:24:03+00,1.0,1.0,22.0,3,Ventura Village,0.0
21-265751,Level 1 - Use of Force,2021/11/18 16:24:03+00,1.0,1.0,22.0,3,Ventura Village,0.0
21-265751,Level 1 - Use of Force,2021/11/18 16:24:03+00,1.0,1.0,22.0,3,Ventura Village,0.0
21-265978,Level 2 - Use of Force,2021/11/18 20:20:19+00,1.0,1.0,54.0,3,Page,1.0
21-265978,Level 1 - Use of Force,2021/11/18 20:20:19+00,1.0,1.0,54.0,3,Page,1.0
21-265978,Level 1 - Use of Force,2021/11/18 20:20:19+00,1.0,1.0,54.0,3,Page,1.0
21-265978,Level 2 - Use of Force,2021/11/18 20:20:19+00,1.0,1.0,54.0,3,Page,1.0
21-265978,Level 1 - Use of Force,2021/11/18 20:20:19+00,1.0,1.0,54.0,3,Page,1.0
21-265978,Level 1 - Use of Force,2021/11/18 20:20:19+00,1.0,1.0,54.0,3,Page,1.0
21-265978,Level 2 - Use of Force,2021/11/18 20:20:19+00,1.0,1.0,54.0,3,Page,1.0
21-265978,Level 2 - Use of Force,2021/11/18 20:20:19+00,1.0,1.0,54.0,3,Page,1.0
21-266899,Level 1 - Use of Force,2021/11/19 22:23:07+00,1.0,0.0,24.0,5,CARAG,1.0
21-267520,Level 2 - Use of Force,2021/11/20 17:21:59+00,2.0,1.0,27.0,5,Whittier,1.0
21-267520,Level 2 - Use of Force,2021/11/20 17:21:59+00,2.0,1.0,27.0,5,Whittier,1.0
21-267940,Level 1 - Use of Force,2021/11/21 02:36:44+00,1.0,1.0,40.0,1,Cedar Riverside,1.0
21-267940,Level 2 - Use of Force,2021/11/21 02:36:44+00,1.0,1.0,40.0,1,Cedar Riverside,1.0
21-268286,Level 1 - Use of Force,2021/11/21 15:49:08+00,2.0,0.0,33.0,5,Linden Hills,1.0
21-268286,Level 1 - Use of Force,2021/11/21 15:49:08+00,2.0,0.0,33.0,5,Linden Hills,1.0
21-268286,Level 2 - Use of Force,2021/11/21 15:49:08+00,2.0,0.0,33.0,5,Linden Hills,1.0
21-268286,Level 1 - Use of Force,2021/11/21 15:49:08+00,2.0,0.0,33.0,5,Linden Hills,1.0
21-268286,Level 1 - Use of Force,2021/11/21 15:49:08+00,2.0,0.0,33.0,5,Linden Hills,1.0
21-268560,Level 1 - Use of Force,2021/11/21 23:19:35+00,1.0,0.0,39.0,5,Lowry Hill East,1.0
21-268560,Level 1 - Use of Force,2021/11/21 23:19:35+00,1.0,0.0,39.0,5,Lowry Hill East,1.0
21-268639,Level 2 - Use of Force,2021/11/22 02:54:18+00,2.0,1.0,29.0,2,Northeast Park,1.0
21-268686,Level 2 - Use of Force,2021/11/22 06:49:54+00,2.0,1.0,29.0,2,Como,1.0
21-268686,Level 1 - Use of Force,2021/11/22 06:49:54+00,2.0,1.0,29.0,2,Como,1.0
21-268686,Level 1 - Use of Force,2021/11/22 06:49:54+00,2.0,1.0,29.0,2,Como,1.0
21-268715,Level 1 - Use of Force,2021/11/22 08:32:43+00,1.0,1.0,38.0,4,Lind - Bohanon,0.0
21-268715,Level 1 - Use of Force,2021/11/22 08:32:43+00,1.0,1.0,38.0,4,Lind - Bohanon,0.0
21-268877,Level 1 - Use of Force,2021/11/22 12:26:21+00,,1.0,45.0,3,Longfellow,1.0
